,price,MA_25,signal
2023-11-04 00:48:20,34665.06,34665.0352,buy
2023-11-04 00:48:21,34665.06,34665.0632,sell
2023-11-04 00:48:22,34665.06,34665.0628,sell
2023-11-04 00:48:23,34665.06,34665.0628,sell
2023-11-04 00:48:24,34665.07,34665.0628,buy
2023-11-04 00:48:25,34665.07,34665.0632,buy
2023-11-04 00:48:26,34665.06,34665.0632,sell
2023-11-04 00:48:27,34665.07,34665.0636,buy
2023-11-04 00:48:28,34665.06,34665.0632,sell
2023-11-04 00:48:29,34665.06,34665.0628,sell
2023-11-04 00:48:30,34665.06,34665.0628,sell
2023-11-04 00:48:31,34665.06,34665.0628,sell
2023-11-04 00:48:32,34665.06,34665.0624,sell
2023-11-04 00:48:33,34665.06,34665.062,sell
2023-11-04 00:48:34,34665.06,34665.062000000005,sell
2023-11-04 00:48:35,34665.07,34665.062399999995,buy
2023-11-04 00:48:36,34665.06,34665.0624,sell
2023-11-04 00:48:37,34665.06,34665.062399999995,sell
2023-11-04 00:48:38,34665.07,34665.0628,buy
2023-11-04 00:48:39,34665.06,34665.062399999995,sell
2023-11-04 00:48:41,34665.06,34665.062399999995,sell
2023-11-04 00:48:42,34665.06,34665.062399999995,sell
2023-11-04 00:48:43,34665.06,34665.062399999995,sell
2023-11-04 00:48:44,34665.07,34665.0628,buy
2023-11-04 00:48:45,34665.06,34665.062399999995,sell
2023-11-04 00:48:46,34665.06,34665.062399999995,sell
2023-11-04 00:48:47,34665.07,34665.0628,buy
2023-11-04 00:48:48,34665.06,34665.0628,sell
2023-11-04 00:48:49,34665.06,34665.0628,sell
2023-11-04 00:48:50,34665.06,34665.062399999995,sell
2023-11-04 00:48:51,34665.06,34665.062,sell
2023-11-04 00:48:52,34665.06,34665.062,sell
2023-11-04 00:48:53,34665.07,34665.062,buy
2023-11-04 00:48:54,34665.07,34665.062399999995,buy
2023-11-04 00:48:55,34665.07,34665.0628,buy
2023-11-04 00:48:56,34665.06,34665.0628,sell
2023-11-04 00:48:57,34665.06,34665.0628,sell
2023-11-04 00:48:58,34665.06,34665.0628,sell
2023-11-04 00:48:59,34665.06,34665.0628,sell
2023-11-04 00:49:00,34665.07,34665.0632,buy
2023-11-04 00:49:01,34665.06,34665.0628,sell
2023-11-04 00:49:02,34665.07,34665.063200000004,buy
2023-11-04 00:49:03,34665.06,34665.0632,sell
2023-11-04 00:49:04,34653.85,34664.6144,sell
2023-11-04 00:49:05,34653.84,34664.16559999999,sell
2023-11-04 00:49:06,34653.85,34663.7172,sell
2023-11-04 00:49:07,34653.84,34663.2684,sell
2023-11-04 00:49:08,34658.57,34663.008799999996,sell
2023-11-04 00:49:09,34658.56,34662.7484,sell
2023-11-04 00:49:11,34658.56,34662.4884,sell
2023-11-04 00:49:12,34658.57,34662.2288,sell
2023-11-04 00:49:13,34658.56,34661.9684,sell
2023-11-04 00:49:14,34658.56,34661.708399999996,sell
2023-11-04 00:49:15,34658.57,34661.4488,sell
2023-11-04 00:49:16,34655.49,34661.066,sell
2023-11-04 00:49:17,34655.06,34660.666,sell
2023-11-04 00:49:18,34655.05,34660.2656,sell
2023-11-04 00:49:19,34655.05,34659.8648,sell
2023-11-04 00:49:20,34655.06,34659.4644,sell
2023-11-04 00:49:21,34655.06,34659.064,sell
2023-11-04 00:49:22,34655.05,34658.6636,sell
2023-11-04 00:49:23,34655.06,34658.2636,sell
2023-11-04 00:49:24,34655.06,34657.8636,sell
2023-11-04 00:49:25,34655.05,34657.4632,sell
2023-11-04 00:49:26,34655.05,34657.062399999995,sell
2023-11-04 00:49:27,34655.05,34656.662000000004,sell
2023-11-04 00:49:28,34655.06,34656.2616,sell
2023-11-04 00:49:29,34655.05,34655.8612,sell
2023-11-04 00:49:30,34655.05,34655.9092,sell
2023-11-04 00:49:31,34655.06,34655.958000000006,sell
2023-11-04 00:49:33,34655.05,34656.005999999994,sell
2023-11-04 00:49:34,34655.05,34656.0544,sell
2023-11-04 00:49:35,34655.05,34655.9136,sell
2023-11-04 00:49:36,34657.24,34655.8608,buy
2023-11-04 00:49:37,34657.24,34655.808000000005,buy
2023-11-04 00:49:38,34657.25,34655.7552,buy
2023-11-04 00:49:39,34657.32,34655.7056,buy
2023-11-04 00:49:40,34657.32,34655.656,buy
2023-11-04 00:49:42,34659.02,34655.674,buy
2023-11-04 00:49:43,34659.02,34655.8152,buy
2023-11-04 00:49:44,34659.02,34655.9736,buy
2023-11-04 00:49:45,34659.01,34656.132000000005,buy
2023-11-04 00:49:46,34659.02,34656.2908,buy
2023-11-04 00:49:47,34659.01,34656.4488,buy
2023-11-04 00:49:48,34659.01,34656.6068,buy
2023-11-04 00:49:49,34659.01,34656.7652,buy
2023-11-04 00:49:50,34659.02,34656.9236,buy
2023-11-04 00:49:51,34659.01,34657.0816,buy
2023-11-04 00:49:52,34659.02,34657.2404,buy
2023-11-04 00:49:53,34659.02,34657.3992,buy
2023-11-04 00:49:54,34659.01,34657.5576,buy
2023-11-04 00:49:55,34659.02,34657.716,buy
2023-11-04 00:49:56,34659.02,34657.8748,buy
2023-11-04 00:49:57,34659.01,34658.033200000005,buy
2023-11-04 00:49:58,34659.01,34658.191199999994,buy
2023-11-04 00:49:59,34659.02,34658.35,buy
2023-11-04 00:50:00,34659.02,34658.508799999996,buy
2023-11-04 00:50:02,34659.02,34658.6676,buy
2023-11-04 00:50:03,34660.18,34658.7852,buy
2023-11-04 00:50:04,34660.18,34658.902799999996,buy
2023-11-04 00:50:05,34660.33,34659.026,buy
2023-11-04 00:50:06,34660.33,34659.1464,buy
2023-11-04 00:50:07,34660.32,34659.26639999999,buy
2023-11-04 00:50:08,34660.32,34659.318400000004,buy
2023-11-04 00:50:09,34660.32,34659.3704,buy
2023-11-04 00:50:10,34660.33,34659.4228,buy
2023-11-04 00:50:11,34660.33,34659.4756,buy
2023-11-04 00:50:12,34660.33,34659.528,buy
2023-11-04 00:50:13,34660.33,34659.5808,buy
2023-11-04 00:50:14,34660.32,34659.6332,buy
2023-11-04 00:50:15,34660.32,34659.6856,buy
2023-11-04 00:50:16,34660.33,34659.738000000005,buy
2023-11-04 00:50:17,34660.33,34659.7908,buy
2023-11-04 00:50:18,34660.32,34659.842800000006,buy
2023-11-04 00:50:19,34660.33,34659.8952,buy
2023-11-04 00:50:20,34660.32,34659.9476,buy
2023-11-04 00:50:21,34660.33,34660.0,buy
2023-11-04 00:50:22,34660.33,34660.0524,buy
2023-11-04 00:50:23,34660.32,34660.1048,buy
2023-11-04 00:50:24,34660.32,34660.1572,buy
2023-11-04 00:50:25,34660.33,34660.2096,buy
2023-11-04 00:50:26,34660.32,34660.2616,buy
2023-11-04 00:50:27,34660.33,34660.314,buy
2023-11-04 00:50:28,34660.32,34660.3196,buy
2023-11-04 00:50:29,34660.33,34660.325600000004,buy
2023-11-04 00:50:30,34660.33,34660.325600000004,buy
2023-11-04 00:50:31,34660.32,34660.3252,sell
2023-11-04 00:50:32,34660.32,34660.3252,sell
2023-11-04 00:50:33,34660.33,34660.325600000004,buy
2023-11-04 00:50:34,34660.55,34660.3348,buy
2023-11-04 00:50:35,34660.54,34660.3432,buy
2023-11-04 00:50:36,34660.6,34660.354,buy
2023-11-04 00:50:37,34660.6,34660.3648,buy
2023-11-04 00:50:38,34660.6,34660.3756,buy
2023-11-04 00:50:39,34660.61,34660.387200000005,buy
2023-11-04 00:50:40,34660.61,34660.3988,buy
2023-11-04 00:50:41,34661.19,34660.4332,buy
